Nuclide,C m2 / kg MBq s,f-factor (cGy/R),HVL,QVL,TVL,CVL,MVL,R/s at 1m
Se-81,8.60E-14,0.965,3.54,9.13,18.4,42.9,67.8,3.333E-10
Br-74,4.10E-12,0.964,12.2,27.2,49,104,159,1.589E-08
Br-75,1.31E-12,0.965,3.9,8.4,14.8,34.2,63.4,5.078E-09
Br-80,8.36E-14,0.965,6.28,12,19.4,38.4,60,3.240E-10
Kr-74,1.15E-12,0.963,3.95,8.5,14.5,29.9,48.1,4.457E-09
Kr-76,4.61E-13,0.96,2.15,4.79,9.34,27.8,54.6,1.787E-09
Kr-77,1.12E-12,0.964,3.99,8.59,14.5,30,52.1,4.341E-09
Kr-85,2.48E-14,0.876,5,9.54,15.3,29.2,42.8,9.612E-11
Kr-87,7.38E-13,0.965,10.9,26.7,48.1,101,154,2.860E-09
Kr-88,1.74E-12,0.964,18.1,34.8,56.1,108,159,6.744E-09
Rb-79,1.57E-12,0.965,4.87,10,17.1,40.3,79,6.085E-09
Rb-81,5.55E-13,0.965,4.96,9.69,16.2,37.9,71.6,2.151E-09
Rb-83,5.38E-13,0.965,5.28,10.1,16.1,31.2,46.7,2.085E-09
Rb-84,9.73E-13,0.965,8.47,16.8,27.9,56.7,87.1,3.771E-09
Rb-89,2.15E-12,0.965,15.6,29.4,47.5,94.4,143,8.333E-09
Sr-80,4.79E-13,0.965,4.98,10.1,16.7,33,49.2,1.857E-09
Sr-81,1.51E-12,0.965,4.73,9.84,17,41,76,5.853E-09
Sr-82,5.77E-14,0.921,0.00633,0.0125,0.0207,0.0412,0.0617,2.236E-10
Sr-85,5.53E-13,0.965,4.93,9.47,15.2,29.1,42.8,2.143E-09
Sr-87,2.23E-13,0.964,0.875,1.67,2.73,5.41,8.43,8.643E-10
Sr-91,7.48E-13,0.965,10.7,20.4,33.1,65.6,98.9,2.899E-09
Sr-92,1.31E-12,0.965,16.3,30.4,48,90,130,5.078E-09
Y-85,1.21E-12,0.965,5.1,9.97,16.4,35.6,62,4.690E-09
Y-86,3.66E-12,0.965,11.1,22.9,39.3,83.2,129,1.419E-08
Y-87,5.47E-13,0.962,3.8,7.92,13.1,25.8,38.1,2.120E-09
Y-90,9.57E-13,0.965,11.1,20.8,32.9,61.7,89.5,3.709E-09
Y-91,3.16E-14,0.876,15.1,27.8,43.8,81.7,118,1.225E-10
Y-92,2.60E-13,0.965,11.7,22.8,37.4,75.2,115,1.008E-09
Y-95,9.61E-13,0.964,18.4,34.7,55.7,109,161,3.725E-09
Zr-86,4.35E-13,0.953,0.55,1.71,3.7,19.5,37.6,1.686E-09
Zr-95,7.98E-13,0.965,8.62,16.2,25.7,48.5,70.7,3.093E-09
Zr-97,7.98E-13,0.965,8.62,16.2,25.7,48.5,70.7,3.093E-09
Nb-89,1.48E-12,0.962,7.01,15.7,32.8,84.7,137,5.736E-09
Nb-90,4.25E-12,0.96,12.7,28.1,48.4,99.2,149,1.647E-08
Nb-92,2.03E-12,0.955,5.91,14.4,25.6,54.6,83.4,7.868E-09
Nb-95,8.31E-13,0.965,9.03,17,26.8,50.6,73.6,3.221E-09
Nb-96,2.63E-12,0.965,9.31,18.5,30.9,63.5,97.4,1.019E-08
Mo-90,1.40E-12,0.952,0.879,4.73,13.8,48.9,88.6,5.426E-09
Mo-93,3.99E-13,0.921,0.00673,0.0134,0.0221,0.0439,0.0622,1.547E-09
Mo-99,1.78E-13,0.959,5.83,13.7,23.4,46.8,69.5,6.899E-10
Mo-101,1.50E-12,0.964,11.4,24,41.2,86.1,131,5.814E-09
Tc-93,1.86E-12,0.951,11.6,26.2,44.4,87.8,130,7.209E-09
Tc-94,3.20E-12,0.959,8.03,16.6,27.6,55,83.9,1.240E-08
Tc-95,1.23E-12,0.948,4.62,13.2,23.5,48.8,74.3,4.767E-09
Tc-96,3.06E-12,0.957,8.26,17.2,28.3,55.6,83.3,1.186E-08
Tc-97,3.64E-13,0.921,0.00695,0.0138,0.0228,0.0453,0.0678,1.411E-09
Tc-98,1.55E-12,0.965,7.96,15,23.9,45.6,67,6.008E-09
Tc-99,1.55E-12,0.965,7.96,15,23.9,45.6,67,6.008E-09
Tc-101,3.70E-13,0.964,2.02,4.19,7.71,23.2,43.8,1.434E-09
Tc-104,2.14E-12,0.965,11.3,26.2,46.2,96.8,147,8.295E-09
Ru-94,9.00E-13,0.947,1.59,5.99,15.5,44.1,71.8,3.488E-09
Ru-95,1.59E-12,0.955,5.14,14.4,29.2,69.3,111,6.163E-09
Ru-97,5.95E-13,0.946,0.0233,0.689,1.93,7.6,22.8,2.306E-09
Ru-105,8.59E-13,0.961,5.85,12.7,21.9,45.6,71.1,3.329E-09
Rh-97,1.67E-12,0.96,5.42,11.9,23.4,64.8,112,6.473E-09
Rh-99,1.03E-12,0.945,1.01,5.13,12.3,39.3,78.6,3.992E-09
Rh-101,6.22E-13,0.949,0.0331,0.502,1.42,5.54,11.5,2.411E-09
Rh-102,7.43E-13,0.951,3.11,8.05,15.1,40,75.2,2.880E-09
Rh-107,3.45E-13,0.964,2.03,4.14,7.34,20.9,41.8,1.337E-09
Pd-98,7.55E-13,0.945,0.517,6.35,16.3,42.9,72.7,2.926E-09
Pd-99,1.49E-12,0.958,5.42,13.6,27.9,73.5,121,5.775E-09
Pd-100,5.94E-13,0.935,0.0106,0.0251,0.164,1.08,2.04,2.302E-09
Pd-103,2.73E-13,0.921,0.00811,0.0161,0.0267,0.054,0.0865,1.058E-09
Pd-111,5.09E-14,0.959,8.13,18.2,33.1,74.5,116,1.973E-10
Pd-112,1.39E-13,0.876,0.00716,0.0142,0.0235,0.0466,0.0697,5.388E-10
Ag-101,1.76E-12,0.962,5.48,12.2,23.3,62.7,108,6.822E-09
Ag-104,3.07E-12,0.959,8.38,17.7,31,69.2,111,1.190E-08
Ag-105,8.48E-13,0.947,1.19,4.37,10.8,36,66.3,3.287E-09
Ag-106,8.79E-13,0.958,4.12,8.69,14.5,28.8,44.6,3.407E-09
Ag-108,2.68E-14,0.949,3.6,9.34,16.7,35.2,54.1,1.039E-10
Ag-110,3.39E-14,0.963,7.11,13.6,21.8,41.7,61.8,1.314E-10
Ag-112,6.95E-13,0.965,10.8,22.2,39.4,87.4,135,2.694E-09
Ag-115,4.71E-13,0.964,10.6,25.5,45.4,95,144,1.826E-09
Cd-104,5.94E-13,0.937,0.0395,3.8,12.8,33.9,54.6,2.302E-09
Cd-107,3.94E-13,0.922,0.0112,0.0222,0.038,2,23.5,1.527E-09
Cd-111,3.66E-13,0.922,0.0109,0.0213,0.0353,0.0805,0.74,1.419E-09
Cd-115,2.24E-13,0.961,4.52,9.14,15,29.2,43.2,8.682E-10
Cd-117,1.10E-12,0.963,11.2,24.9,42.2,84.9,127,4.264E-09
In-108,4.25E-12,0.961,9.44,19.8,34.1,73.1,115,1.647E-08
In-110,3.55E-12,0.958,8.58,17.3,28.7,58.4,90.4,1.376E-08
In-112,3.74E-13,0.95,3.46,8.34,14.6,31.7,56.4,1.450E-09
In-113,1.97E-13,0.929,0.018,0.0371,0.114,1.29,2.4,7.636E-10
In-115,1.89E-13,0.937,0.0473,1.6,8.81,29.7,50.5,7.326E-10
In-116,2.74E-13,0.946,0.74,2.69,5.29,11.6,18,1.062E-09
In-117,7.76E-13,0.962,3.87,9.02,15.4,31,46.1,3.008E-09
Sn-108,9.78E-13,0.951,1.65,5.28,12,35.6,66.3,3.791E-09
Sn-109,2.34E-12,0.953,12.4,26.5,44.8,91.2,138,9.070E-09
Sn-111,6.66E-13,0.947,4.43,11.2,23.5,68,115,2.581E-09
Sn-113,2.34E-13,0.922,0.0153,0.0294,0.0494,1.4,4.68,9.070E-10
Sn-117,1.47E-13,0.921,0.017,0.0317,0.0506,0.102,0.336,5.698E-10
Sn-119,3.27E-13,0.945,0.0567,0.374,0.864,2.01,3.14,1.267E-09
Sn-123,7.06E-14,0.965,13.6,25.2,39.6,74.1,107,2.736E-10
Sn-126,1.46E-13,0.94,0.0271,0.0937,0.494,1.62,2.77,5.659E-10
Sb-116,2.38E-12,0.959,11,23.8,41.2,85.5,131,9.225E-09
Sb-119,2.64E-13,0.921,0.0165,0.0308,0.049,0.0955,0.144,1.023E-09
Sb-120,6.14E-13,0.95,3.59,8.37,14.6,32.8,62.1,2.380E-09
Sb-125,5.87E-13,0.948,3.22,8.04,14.6,31.9,49.5,2.275E-09
Sb-126,3.02E-12,0.965,7.09,14,23,46.3,71.7,1.171E-08
Sb-127,7.68E-13,0.963,6.21,12.7,21.4,44.1,68.6,2.977E-09
Sb-128,3.36E-12,0.965,7.51,15.1,25.1,51.8,82.8,1.302E-08
Sb-129,1.51E-12,0.965,10.9,21.6,36.1,76.1,119,5.853E-09
Sb-130,1.51E-12,0.965,10.9,21.6,36.1,76.1,119,5.853E-09
Sb-131,2.08E-12,0.965,12.5,24.7,41,85.1,131,8.062E-09
Te-114,1.51E-12,0.948,7.63,19.5,37.1,83.2,129,5.853E-09
Te-116,3.83E-13,0.931,0.0288,0.0761,3.15,26,53.3,1.484E-09
Te-117,1.69E-12,0.954,9.09,20,36.5,84,133,6.550E-09
Te-118,1.88E-13,0.921,0.019,0.0352,0.0559,0.109,0.165,7.287E-10
Te-119,9.96E-13,0.947,5.72,13,23,55.4,99.1,3.860E-09
Te-121,8.14E-13,0.946,3.61,8.95,15.6,31.7,47.5,3.155E-09
Te-123,3.09E-14,0.921,0.0188,0.0346,0.0548,0.106,0.159,1.198E-10
Te-125,2.40E-13,0.948,0.14,0.521,1,2.15,3.28,9.302E-10
Te-127,5.55E-14,0.961,2.94,5.99,9.9,19.6,29.2,2.151E-10
Te-129,1.01E-13,0.939,1.67,5.98,12.7,38.5,71.8,3.915E-10
Te-131,4.57E-13,0.96,4.26,11.8,24,58.1,92.7,1.771E-09
Te-132,3.73E-13,0.944,0.262,1.04,2.08,4.66,7.21,1.446E-09
